experiment,config,seed,best_epoch,imputation_accuracy,dosage_r2,train_accuracy,val_accuracy,baseline_majority_accuracy,baseline_explicit_ld_accuracy,model_minus_explicit_ld,model_minus_majority,explicit_r2_seconds,accuracy_maf_low,accuracy_maf_mid,accuracy_maf_high,baseline_explicit_ld_accuracy_maf_low,baseline_explicit_ld_accuracy_maf_mid,baseline_explicit_ld_accuracy_maf_high,baseline_majority_accuracy_maf_low,baseline_majority_accuracy_maf_mid,baseline_majority_accuracy_maf_high,attention_vs_r2_pearson,attention_vs_r2_spearman,bias_vs_r2_pearson,bias_vs_r2_spearman,attention_vs_r2_partial_pearson,bias_vs_r2_partial_pearson,distance_baseline_vs_r2_pearson
ablation,no_bias,0,380,0.9883248209953308,0.9808172225348244,0.9935548841893252,0.9898678660392761,0.6401678919792175,0.9283746480941772,0.059950172901153564,0.3481569290161133,0.0005231430041021667,0.9791522026062012,0.9871746301651001,0.9929238557815552,0.9520500302314758,0.9147491455078125,0.9289555549621582,0.8498957753181458,0.6412674188613892,0.5539202094078064,0.44891179958715904,0.3693295045990681,0.0,0.201203532821074,0.35376313025204076,0.0,0.2848410715889441
ablation,no_bias,1,390,0.9892541766166687,0.9855759731779337,0.9942844078646548,0.987396776676178,0.694128155708313,0.9544582366943359,0.034795939922332764,0.2951260209083557,0.00048629000229993835,0.9845976233482361,0.99379962682724,0.9840067625045776,0.9541779160499573,0.9692460298538208,0.9048821330070496,0.8509818911552429,0.6651785969734192,0.44949495792388916,0.75779126037343,0.5867881954116699,0.0,0.09475655088430368,0.7186304770754051,0.0,0.3207823721938148
ablation,no_bias,2,290,0.9836724400520325,0.9783490723307899,0.9888596626953428,0.9852238297462463,0.7718024849891663,0.9608656167984009,0.022806823253631592,0.2118699550628662,0.00045543000305769965,0.9931972622871399,0.9652265310287476,0.9613820910453796,0.9913076162338257,0.9420442581176758,0.8638211488723755,0.8616780042648315,0.6912539601325989,0.501354992389679,0.47729090070343866,0.6058805174919013,0.0,0.09042633509064009,0.48040166954334135,0.0,0.06215405430348745
ablation,no_bias,3,490,0.9838688969612122,0.9792061245030368,0.9883381924198251,0.9804856777191162,0.6178861856460571,0.9300554990768433,0.053813397884368896,0.36598271131515503,0.00044606300070881844,0.9785447716712952,0.9742612242698669,0.9928714036941528,0.9440298676490784,0.9046711325645447,0.9366980195045471,0.8628731369972229,0.6572926640510559,0.44453948736190796,0.45679559655669566,0.3024935513572422,0.0,0.15921548411232864,0.39986925124557726,0.0,0.26862567708903135
ablation,no_bias,4,450,0.9768385291099548,0.9599568540710521,0.9873443559910186,0.9822048544883728,0.618031919002533,0.9430777430534363,0.033760786056518555,0.3588066101074219,0.0006392659997800365,0.978502094745636,0.9671837687492371,0.9798850417137146,0.941054105758667,0.9307875633239746,0.9482758641242981,0.8626906871795654,0.6873508095741272,0.5143678188323975,0.6552633096804509,0.3791942496226245,0.0,0.004824742085045633,0.5450559715304919,0.0,0.39204044930776494
ablation,no_bias,5,400,0.9833791255950928,0.9726036755168685,0.9904825143868968,0.9872862696647644,0.6907472610473633,0.9387514591217041,0.04462766647338867,0.2926318645477295,0.0005497169986483641,0.9876543283462524,0.9791980981826782,0.9841748476028442,0.966966986656189,0.9445281624794006,0.8605877757072449,0.8138138055801392,0.6572203636169434,0.4966088831424713,0.5517124407357012,0.5694818387906972,0.0,0.12714216469474196,0.49636294302815454,0.0,0.2927737371867275
ablation,no_bias,6,420,0.9839600324630737,0.9699616704112124,0.9960981047937569,0.9856646656990051,0.6594793796539307,0.9396529197692871,0.04430711269378662,0.32448065280914307,0.0006338609964586794,0.9777314066886902,0.9809209108352661,0.9932975769042969,0.9053583741188049,0.9458153247833252,0.9508489966392517,0.8302018046379089,0.6654795408248901,0.5393208265304565,0.45700473176191464,0.28349273406928494,0.0,0.13822611049608985,0.4294332117816732,0.0,0.16673933471706634
ablation,no_bias,7,370,0.9814650416374207,0.9755650373461187,0.9860011051759071,0.9803586602210999,0.6982353925704956,0.9422369003295898,0.03922814130783081,0.28322964906692505,0.0007262709987116978,0.9687895178794861,0.9870063662528992,0.9867172837257385,0.9405314326286316,0.9551592469215393,0.9127134680747986,0.8625052571296692,0.6588535308837891,0.549652099609375,0.5896641657025145,0.40973465616699734,0.0,0.20186389369902089,0.4700358654368795,0.0,0.40082378546136693
ablation,no_bias,8,440,0.9805487394332886,0.967210823494554,0.986562150055991,0.985023558139801,0.6989566087722778,0.939327597618103,0.04122114181518555,0.28159213066101074,0.0005280360055621713,0.9773380160331726,0.9733333587646484,0.988692581653595,0.961698055267334,0.9077777862548828,0.934628963470459,0.8834982514381409,0.7011111378669739,0.49328622221946716,0.647706708522663,0.4377107097060077,0.0,0.1784097767932751,0.6278554967667335,0.0,0.2088209189088341
ablation,no_bias,9,380,0.9804176092147827,0.9579172413681505,0.9941772151898735,0.98589688539505,0.742705225944519,0.9419012069702148,0.03851640224456787,0.23771238327026367,0.0005042310003773309,0.9872420430183411,0.9798898100852966,0.9689265489578247,0.9722326397895813,0.9542699456214905,0.8531073331832886,0.8986867070198059,0.7203856706619263,0.5063559412956238,0.504021721684148,0.38517995244369446,0.0,0.014663887911045137,0.5037738595775911,0.0,0.0781855858650057
ablation,distance_only,0,380,0.9895054697990417,0.9808479184712837,0.9933534743202417,0.9881057143211365,0.6401678919792175,0.9283746480941772,0.0611308217048645,0.3493375778198242,0.0010696399986045435,0.9826267957687378,0.9867974519729614,0.994339108467102,0.9520500302314758,0.9147491455078125,0.9289555549621582,0.8498957753181458,0.6412674188613892,0.5539202094078064,0.4671813151445565,0.31282034000139775,0.22718266216295457,0.19348113116964968,0.3691170029891412,-0.05870254505505264,0.2848410715889441
