experiment,config,seed,best_epoch,imputation_accuracy,dosage_r2,train_accuracy,val_accuracy,baseline_majority_accuracy,baseline_explicit_ld_accuracy,model_minus_explicit_ld,model_minus_majority,explicit_r2_seconds,accuracy_maf_low,accuracy_maf_mid,accuracy_maf_high,baseline_explicit_ld_accuracy_maf_low,baseline_explicit_ld_accuracy_maf_mid,baseline_explicit_ld_accuracy_maf_high,baseline_majority_accuracy_maf_low,baseline_majority_accuracy_maf_mid,baseline_majority_accuracy_maf_high,attention_vs_r2_pearson,attention_vs_r2_spearman,bias_vs_r2_pearson,bias_vs_r2_spearman,attention_vs_r2_partial_pearson,bias_vs_r2_partial_pearson,distance_baseline_vs_r2_pearson
ablation,no_bias,0,360,0.9842560887336731,0.9789772889419055,0.9923732615522656,0.988656222820282,0.6040409207344055,0.9281028509140015,0.05615323781967163,0.3802151679992676,0.00032290100352838635,0.952296793460846,0.9915449619293213,0.9886831045150757,0.9134275913238525,0.9400461316108704,0.9243826866149902,0.8957597017288208,0.7348193526268005,0.43158435821533203,0.6500942775291351,0.33287092357054127,0.0,0.1634589974347199,0.609187347008193,0.0,0.27972155452613906
ablation,no_bias,1,500,0.972937822341919,0.9509079690715794,0.9805293580772741,0.9797356724739075,0.6599011421203613,0.915170431137085,0.057767391204833984,0.3130366802215576,0.00031463000050280243,0.9598930478096008,0.9806763529777527,0.9691558480262756,0.9411764740943909,0.9178743958473206,0.8952922224998474,0.8502673506736755,0.6902844905853271,0.49837663769721985,0.52453608830596,0.44559401181180563,0.0,0.18424995713207204,0.4611832758354929,0.0,0.26460164342772025
ablation,no_bias,2,430,0.9701220989227295,0.9515820848673826,0.982879105520615,0.9675723314285278,0.6528968811035156,0.9272538423538208,0.04286825656890869,0.31722521781921387,0.0003200310020474717,0.9584664702415466,0.9710144996643066,0.9784946441650391,0.9542065858840942,0.928093671798706,0.9032257795333862,0.876464307308197,0.634894073009491,0.49372759461402893,0.4425329713758232,0.3457723567448166,0.0,0.05868734596764087,0.40766826944591916,0.0,0.22227790849312182
ablation,no_bias,3,350,0.9497461915016174,0.921596067814253,0.980507974010632,0.9623609781265259,0.6931471824645996,0.9040609002113342,0.0456852912902832,0.2565990090370178,0.00029918500513304025,0.9656786322593689,0.9499722123146057,0.9254947900772095,0.9625585079193115,0.8999444246292114,0.8253783583641052,0.8517940640449524,0.6742634773254395,0.4959254860877991,0.3564329232625794,0.3619603627936028,0.0,0.0015997924061640534,0.2996044889865795,0.0,0.26627182167318364
ablation,no_bias,4,460,0.9476153254508972,0.9295650161893185,0.9831440087944302,0.9803571701049805,0.6755277514457703,0.9254626035690308,0.022152721881866455,0.27208757400512695,0.0003193750017089769,0.9054545164108276,0.9631255269050598,0.9567538499832153,0.9139394164085388,0.9446883201599121,0.9188467860221863,0.8569697141647339,0.7278314232826233,0.5638014078140259,0.511118476026481,0.3210329460017594,0.0,0.25804722250097845,0.4420492689760511,0.0,0.3211841762527194
ablation,no_bias,5,490,0.9685142040252686,0.9678355716801548,0.9602122015915119,0.9641295075416565,0.8678116202354431,0.9622690677642822,0.006245136260986328,0.10070258378982544,0.00033962700399570167,0.989104688167572,0.9819238185882568,0.6174863576889038,0.9867361187934875,0.967075526714325,0.6393442749977112,0.9204168915748596,0.8373143672943115,0.5191256999969482,0.19925848869637633,0.35830822183717725,0.0,0.3103346680241461,0.14410388222322917,0.0,0.3095765558281417
ablation,no_bias,6,440,0.9758593440055847,0.9653360322984419,0.9893546240851631,0.9684684872627258,0.6069273352622986,0.9068486094474792,0.06901073455810547,0.36893200874328613,0.0002781430084723979,0.9627659320831299,0.9665164351463318,0.9887839555740356,0.9468085169792175,0.9079201817512512,0.8925619721412659,0.868794322013855,0.6838377118110657,0.4492325782775879,0.49645587537033875,0.35146023071879096,0.0,-0.08645680597117575,0.46362956660556043,0.0,0.19462477436380698
ablation,no_bias,7,420,0.9787940979003906,0.9640782862097161,0.9845402766476811,0.9742046594619751,0.6126724481582642,0.9266734719276428,0.0521206259727478,0.36612164974212646,0.00030551099916920066,0.9251700639724731,0.9886409640312195,0.9714285731315613,0.9149659872055054,0.9298174381256104,0.9229437112808228,0.8741496801376343,0.6125760674476624,0.5463203191757202,0.6191147168473118,0.5079959333026007,0.0,0.08196208395482307,0.5612166880021008,0.0,0.27907868316914175
ablation,distance_only,0,370,0.9850432872772217,0.9772717737399859,0.9910273665320771,0.9860383868217468,0.6040409207344055,0.9281028509140015,0.056940436363220215,0.38100236654281616,0.00032164099684450775,0.9805653691291809,0.9846271872520447,0.9866254925727844,0.9134275913238525,0.9400461316108704,0.9243826866149902,0.8957597017288208,0.7348193526268005,0.43158435821533203,0.6520487684507656,0.38994956376647477,0.28771268958368734,0.15290646016012654,0.6106066271807612,0.018000114470848448,0.27972155452613906
ablation,distance_only,1,450,0.9664324522018433,0.9385892782675,0.9777912990568908,0.9779735803604126,0.6599011421203613,0.915170431137085,0.0512620210647583,0.30653131008148193,0.0003703300026245415,0.9625668525695801,0.967793881893158,0.9667207598686218,0.9411764740943909,0.9178743958473206,0.8952922224998474,0.8502673506736755,0.6902844905853271,0.49837663769721985,0.4312421669002394,0.38516394324245323,0.19148273290612708,0.22126100279258112,0.34987400936270296,-0.047732633198711,0.26460164342772025
