experiment,config,metric,mean,std,sem,n
ablation,no_bias,imputation_accuracy,0.96848064661026,0.012341902049284299,0.0043635213158945375,8
ablation,no_bias,dosage_r2,0.953734789634094,0.018395967694282027,0.006503956751557739,8
ablation,no_bias,train_accuracy,0.9816926012849466,0.009003962847666358,0.003183381593568309,8
ablation,no_bias,val_accuracy,0.9731856286525726,0.008570725653068887,0.003030209114487255,8
ablation,no_bias,baseline_majority_accuracy,0.6716156601905823,0.08037771403719611,0.028417813325987258,8
ablation,no_bias,baseline_explicit_ld_accuracy,0.9244802221655846,0.016841479160569522,0.005954362059825316,8
ablation,no_bias,model_minus_explicit_ld,0.044000424444675446,0.01915586726378493,0.00677262182086586,8
ablation,no_bias,model_minus_majority,0.29686498641967773,0.08538765565029248,0.030189095169971814,8
ablation,no_bias,explicit_r2_seconds,0.00031242537806974724,1.7172169719300612e-05,6.071278828101877e-06,8
ablation,no_bias,accuracy_maf_low,0.9523537680506706,0.02415910278939369,0.008541532704881557,8
ablation,no_bias,accuracy_maf_mid,0.9741768464446068,0.01318047614356474,0.004660002030191071,8
ablation,no_bias,accuracy_maf_high,0.9245351403951645,0.11761293632050071,0.041582452413743816,8
ablation,no_bias,baseline_explicit_ld_accuracy_maf_low,0.9417273998260498,0.024826386144483934,0.008777452997560168,8
ablation,no_bias,baseline_explicit_ld_accuracy_maf_mid,0.9294325113296509,0.020094288741963704,0.007104403916281516,8
ablation,no_bias,baseline_explicit_ld_accuracy_maf_high,0.8652469739317894,0.09042375070190894,0.03196962365082082,8
ablation,no_bias,baseline_majority_accuracy_maf_low,0.8743270039558411,0.02237946647981006,0.007912336253605363,8
ablation,no_bias,baseline_majority_accuracy_maf_mid,0.6994776204228401,0.06494202496806109,0.022960473119451038,8
ablation,no_bias,baseline_majority_accuracy_maf_high,0.49976176023483276,0.04168054271740871,0.014736297199507633,8
ablation,no_bias,attention_vs_r2_pearson,0.4749429771767507,0.13545820169677686,0.047891706493563,8
ablation,no_bias,attention_vs_r2_spearman,0.3781243733476368,0.06035070895504889,0.021337197775765385,8
ablation,no_bias,bias_vs_r2_pearson,0.0,0.0,0.0,8
ablation,no_bias,bias_vs_r2_spearman,0.1214854076811711,0.12406276533744988,0.04386281133143308,8
ablation,no_bias,attention_vs_r2_partial_pearson,0.42358034838539077,0.13715094061372649,0.04849018007703973,8
ablation,no_bias,bias_vs_r2_partial_pearson,0.0,0.0,0.0,8
ablation,no_bias,distance_baseline_vs_r2_pearson,0.2671671397167468,0.03921211264730298,0.01386357537877936,8
ablation,distance_only,imputation_accuracy,0.9689499065279961,0.009075443835047974,0.0032086539390200346,8
ablation,distance_only,dosage_r2,0.9534638493294789,0.015031494841720595,0.005314435966975621,8
ablation,distance_only,train_accuracy,0.981145113675686,0.0073138937233233805,0.0025858519243198443,8
