experiment,config,metric,mean,std,sem,n
ablation,no_bias,imputation_accuracy,0.9887958963712057,0.004800367912999422,0.0019597419940795965,6
ablation,no_bias,dosage_r2,0.9846402992631186,0.005904096399343985,0.0024103372617660314,6
ablation,no_bias,train_accuracy,0.9919748435315455,0.0027477573616620215,0.001121767245508015,6
ablation,no_bias,val_accuracy,0.989473690589269,0.00382006204379006,0.0015595337988431827,6
ablation,no_bias,baseline_majority_accuracy,0.6899040738741556,0.043315797630828365,0.01768360033286433,6
ablation,no_bias,baseline_explicit_ld_accuracy,0.9423233966032664,0.022902678788141267,0.009349979462301651,6
ablation,no_bias,model_minus_explicit_ld,0.04647249976793925,0.01917767115976117,0.007829251466050628,6
ablation,no_bias,model_minus_majority,0.29889182249705,0.04188804058222567,0.01710072095857455,6
ablation,no_bias,explicit_r2_seconds,0.00367310749910151,0.000596583799620302,0.00024355431631342412,6
ablation,no_bias,accuracy_maf_low,0.985416462024053,0.01103995730138588,0.004507043695084828,6
ablation,no_bias,accuracy_maf_mid,0.9884900351365408,0.007476543449572122,0.0030522860818666124,6
ablation,no_bias,accuracy_maf_high,0.9845284521579742,0.007302678305892449,0.002981305934188132,6
ablation,no_bias,baseline_explicit_ld_accuracy_maf_low,0.9609351853529612,0.018999197986343586,0.007756390098109238,6
ablation,no_bias,baseline_explicit_ld_accuracy_maf_mid,0.9413037002086639,0.02985373788147553,0.012187737454068653,6
ablation,no_bias,baseline_explicit_ld_accuracy_maf_high,0.890671064456304,0.03943973544015857,0.01610120456979177,6
ablation,no_bias,baseline_majority_accuracy_maf_low,0.8547274768352509,0.013159753222346514,0.0053724467559492775,6
ablation,no_bias,baseline_majority_accuracy_maf_mid,0.6947924693425497,0.038225261031671606,0.015605397468714855,6
ablation,no_bias,baseline_majority_accuracy_maf_high,0.4870210438966751,0.020803541274838168,0.008493010161047096,6
ablation,no_bias,attention_vs_r2_pearson,0.5156773848715233,0.08842619566022783,0.03609984321051108,6
ablation,no_bias,attention_vs_r2_spearman,0.41521810832337636,0.08553959019126332,0.03492139146256268,6
ablation,no_bias,bias_vs_r2_pearson,0.0,0.0,0.0,6
ablation,no_bias,bias_vs_r2_spearman,0.062089363152300764,0.11123532123442235,0.04541162973315157,6
ablation,no_bias,attention_vs_r2_partial_pearson,0.43254629388627974,0.08140801620011204,0.03323468344375021,6
ablation,no_bias,bias_vs_r2_partial_pearson,0.0,0.0,0.0,6
ablation,no_bias,distance_baseline_vs_r2_pearson,0.28892381752514684,0.04343029870952195,0.017730345202497253,6
ablation,distance_only,imputation_accuracy,0.9890211423238119,0.005068199786201319,0.002069083898446005,6
ablation,distance_only,dosage_r2,0.9849567038521467,0.006101232609640531,0.0024908177826081204,6
ablation,distance_only,train_accuracy,0.9926817799976567,0.003158604966260372,0.0012894950777264647,6
ablation,distance_only,val_accuracy,0.98908797899882,0.005448811065764282,0.0022244678026588477,6
ablation,distance_only,baseline_majority_accuracy,0.6899040738741556,0.043315797630828365,0.01768360033286433,6
ablation,distance_only,baseline_explicit_ld_accuracy,0.9423233966032664,0.022902678788141267,0.009349979462301651,6
ablation,distance_only,model_minus_explicit_ld,0.04669774572054545,0.01875673658754561,0.007657405646546487,6
ablation,distance_only,model_minus_majority,0.2991170684496562,0.04232085693906614,0.01727741749633947,6
ablation,distance_only,explicit_r2_seconds,0.005362868501227543,0.0025531227509945093,0.0010423079984379034,6
ablation,distance_only,accuracy_maf_low,0.9851193726062775,0.01142662390241917,0.004664899673936141,6
ablation,distance_only,accuracy_maf_mid,0.9883121351401011,0.007704109166730034,0.003145189396864513,6
ablation,distance_only,accuracy_maf_high,0.9854456981023153,0.008036392845090378,0.0032808436405041674,6
ablation,distance_only,baseline_explicit_ld_accuracy_maf_low,0.9609351853529612,0.018999197986343586,0.007756390098109238,6
ablation,distance_only,baseline_explicit_ld_accuracy_maf_mid,0.9413037002086639,0.02985373788147553,0.012187737454068653,6
ablation,distance_only,baseline_explicit_ld_accuracy_maf_high,0.890671064456304,0.03943973544015857,0.01610120456979177,6
ablation,distance_only,baseline_majority_accuracy_maf_low,0.8547274768352509,0.013159753222346514,0.0053724467559492775,6
ablation,distance_only,baseline_majority_accuracy_maf_mid,0.6947924693425497,0.038225261031671606,0.015605397468714855,6
ablation,distance_only,baseline_majority_accuracy_maf_high,0.4870210438966751,0.020803541274838168,0.008493010161047096,6
ablation,distance_only,attention_vs_r2_pearson,0.5156868610919227,0.08773421912913469,0.03581734497465119,6
ablation,distance_only,attention_vs_r2_spearman,0.4401857293723275,0.02788465293319755,0.011383861890156045,6
ablation,distance_only,bias_vs_r2_pearson,0.2893129062892827,0.07220396433502811,0.029477145004488964,6
ablation,distance_only,bias_vs_r2_spearman,0.241517358623481,0.049813018862926224,0.020336079793633794,6
ablation,distance_only,attention_vs_r2_partial_pearson,0.4293846582651485,0.06917619611676303,0.028241063805461427,6
ablation,distance_only,bias_vs_r2_partial_pearson,0.007886894196625072,0.01281164359729644,0.005230331596628569,6
ablation,distance_only,distance_baseline_vs_r2_pearson,0.28892381752514684,0.04343029870952195,0.017730345202497253,6
ablation,genotype_only,imputation_accuracy,0.9885203838348389,0.004510148327246137,0.001841260344336687,6
ablation,genotype_only,dosage_r2,0.9844434613715277,0.005463649349470702,0.002230525506615411,6
ablation,genotype_only,train_accuracy,0.9913124890407666,0.0033546990579553676,0.0013695501554310107,6
ablation,genotype_only,val_accuracy,0.9892475207646688,0.004553154475814532,0.0018588175309691693,6
ablation,genotype_only,baseline_majority_accuracy,0.6899040738741556,0.043315797630828365,0.01768360033286433,6
ablation,genotype_only,baseline_explicit_ld_accuracy,0.9423233966032664,0.022902678788141267,0.009349979462301651,6
ablation,genotype_only,model_minus_explicit_ld,0.04619698723157247,0.019424071720739875,0.007929844073839521,6
ablation,genotype_only,model_minus_majority,0.29861630996068317,0.04212398791498741,0.017197046053814037,6
ablation,genotype_only,explicit_r2_seconds,0.0038122504999288744,0.0011547464325814439,0.00047142325702061893,6
ablation,genotype_only,accuracy_maf_low,0.9855210880438486,0.010241360066666311,0.004181017739241396,6
ablation,genotype_only,accuracy_maf_mid,0.9883808493614197,0.007399841238242662,0.0030209725352165623,6
ablation,genotype_only,accuracy_maf_high,0.983736515045166,0.006918239837147773,0.0028243595865345725,6
ablation,genotype_only,baseline_explicit_ld_accuracy_maf_low,0.9609351853529612,0.018999197986343586,0.007756390098109238,6
ablation,genotype_only,baseline_explicit_ld_accuracy_maf_mid,0.9413037002086639,0.02985373788147553,0.012187737454068653,6
ablation,genotype_only,baseline_explicit_ld_accuracy_maf_high,0.890671064456304,0.03943973544015857,0.01610120456979177,6
ablation,genotype_only,baseline_majority_accuracy_maf_low,0.8547274768352509,0.013159753222346514,0.0053724467559492775,6
ablation,genotype_only,baseline_majority_accuracy_maf_mid,0.6947924693425497,0.038225261031671606,0.015605397468714855,6
ablation,genotype_only,baseline_majority_accuracy_maf_high,0.4870210438966751,0.020803541274838168,0.008493010161047096,6
ablation,genotype_only,attention_vs_r2_pearson,0.5453096913367327,0.08015632677096775,0.032723683374110364,6
ablation,genotype_only,attention_vs_r2_spearman,0.41660736412349153,0.039003393928102245,0.015923068893436358,6
ablation,genotype_only,bias_vs_r2_pearson,0.6998463025890582,0.022569429066618612,0.009213930833192469,6
ablation,genotype_only,bias_vs_r2_spearman,0.4729479187992164,0.04754414075843205,0.019409814186203158,6
ablation,genotype_only,attention_vs_r2_partial_pearson,0.4722204366167655,0.0722231750611776,0.029484987750598064,6
ablation,genotype_only,bias_vs_r2_partial_pearson,0.6511021678907505,0.046538681465955245,0.018999337148918497,6
ablation,genotype_only,distance_baseline_vs_r2_pearson,0.28892381752514684,0.04343029870952195,0.017730345202497253,6
ablation,both,imputation_accuracy,0.9894868532816569,0.003737932428480764,0.001526004523796708,6
ablation,both,dosage_r2,0.9858180024153592,0.004858880420903311,0.001983629625402112,6
ablation,both,train_accuracy,0.9928779646498862,0.0026153651632972487,0.001067718356854844,6
ablation,both,val_accuracy,0.9900372425715128,0.004000898799907666,0.001633360095381226,6
ablation,both,baseline_majority_accuracy,0.6899040738741556,0.043315797630828365,0.01768360033286433,6
ablation,both,baseline_explicit_ld_accuracy,0.9423233966032664,0.022902678788141267,0.009349979462301651,6
ablation,both,model_minus_explicit_ld,0.0471634566783905,0.02014208631191155,0.008222972303213467,6
ablation,both,model_minus_majority,0.2995827794075012,0.04280996037812825,0.01747709313919657,6
ablation,both,explicit_r2_seconds,0.00425604800026728,0.0009141903719302746,0.00037321665649905775,6
ablation,both,accuracy_maf_low,0.9861250221729279,0.010542457798755898,0.004303940373629516,6
ablation,both,accuracy_maf_mid,0.988649586836497,0.0084093610824709,0.003433107285812086,6
ablation,both,accuracy_maf_high,0.9851162532965342,0.00739218231623155,0.00301784579339873,6
ablation,both,baseline_explicit_ld_accuracy_maf_low,0.9609351853529612,0.018999197986343586,0.007756390098109238,6
ablation,both,baseline_explicit_ld_accuracy_maf_mid,0.9413037002086639,0.02985373788147553,0.012187737454068653,6
ablation,both,baseline_explicit_ld_accuracy_maf_high,0.890671064456304,0.03943973544015857,0.01610120456979177,6
ablation,both,baseline_majority_accuracy_maf_low,0.8547274768352509,0.013159753222346514,0.0053724467559492775,6
ablation,both,baseline_majority_accuracy_maf_mid,0.6947924693425497,0.038225261031671606,0.015605397468714855,6
ablation,both,baseline_majority_accuracy_maf_high,0.4870210438966751,0.020803541274838168,0.008493010161047096,6
ablation,both,attention_vs_r2_pearson,0.5582957847489084,0.09713543417884976,0.03965537494698051,6
ablation,both,attention_vs_r2_spearman,0.44557974115452237,0.05382376454572363,0.021973459862121153,6
ablation,both,bias_vs_r2_pearson,0.7128637782545972,0.014917466909562135,0.0060900303638799875,6
ablation,both,bias_vs_r2_spearman,0.49530365888753164,0.050980782959285154,0.020812817489637404,6
ablation,both,attention_vs_r2_partial_pearson,0.4906943240646208,0.09474929285349985,0.03868123683010123,6
ablation,both,bias_vs_r2_partial_pearson,0.6676852062991827,0.034269960964419456,0.013990652977987562,6
ablation,both,distance_baseline_vs_r2_pearson,0.28892381752514684,0.04343029870952195,0.017730345202497253,6
scaling,no_bias_n200,imputation_accuracy,0.9257031083106995,0.015995369101718074,0.009234930656664354,3
scaling,no_bias_n200,dosage_r2,0.8906474180626489,0.025776218923844966,0.014881906934372618,3
scaling,no_bias_n200,train_accuracy,0.9448395310871629,0.0077473153403186425,0.004472914597229886,3
scaling,no_bias_n200,val_accuracy,0.9333816568056742,0.010256758724386786,0.005921742410537754,3
scaling,no_bias_n200,baseline_majority_accuracy,0.6580298940340678,0.0346826631709619,0.020024044917967974,3
scaling,no_bias_n200,baseline_explicit_ld_accuracy,0.9020936687787374,0.014070895992356235,0.0081238355889261,3
scaling,no_bias_n200,model_minus_explicit_ld,0.023609439531962078,0.015421321618270459,0.008903504187568245,3
scaling,no_bias_n200,model_minus_majority,0.26767321427663165,0.04245268099350218,0.024510066799419795,3
scaling,no_bias_n200,explicit_r2_seconds,0.0016685783327072083,0.0008645842950653353,0.0004991679754930942,3
scaling,no_bias_n200,accuracy_maf_low,0.9338288903236389,0.015578559706075848,0.008994285639889549,3
scaling,no_bias_n200,accuracy_maf_mid,0.9242071111996969,0.011691561513752093,0.006750126187211839,3
scaling,no_bias_n200,accuracy_maf_high,0.9162079691886902,0.02225871183036031,0.012851073267072832,3
scaling,no_bias_n200,baseline_explicit_ld_accuracy_maf_low,0.9502423206965128,0.015096177451154623,0.00871578211515848,3
scaling,no_bias_n200,baseline_explicit_ld_accuracy_maf_mid,0.922844648361206,0.014002416977906187,0.008084299211499524,3
scaling,no_bias_n200,baseline_explicit_ld_accuracy_maf_high,0.8364287614822388,0.01623146523947572,0.009371240825353361,3
scaling,no_bias_n200,baseline_majority_accuracy_maf_low,0.8669307430585226,0.01204222660410534,0.006952582771522692,3
scaling,no_bias_n200,baseline_majority_accuracy_maf_mid,0.6885024110476176,0.04759525792334061,0.02747913497419037,3
scaling,no_bias_n200,baseline_majority_accuracy_maf_high,0.4696256120999654,0.028287717051101606,0.01633192105421348,3
scaling,no_bias_n200,attention_vs_r2_pearson,0.5001966448499364,0.04374126804946122,0.025254032883052013,3
scaling,no_bias_n200,attention_vs_r2_spearman,0.3476322424410683,0.07506597634995588,0.04333936165262911,3
scaling,no_bias_n200,bias_vs_r2_pearson,0.0,0.0,0.0,3
scaling,no_bias_n200,bias_vs_r2_spearman,0.20214969790824933,0.06376673701735887,0.03681574278231622,3
scaling,no_bias_n200,attention_vs_r2_partial_pearson,0.4088499552992991,0.037481674720065444,0.021640054989307777,3
scaling,no_bias_n200,bias_vs_r2_partial_pearson,0.0,0.0,0.0,3
scaling,no_bias_n200,distance_baseline_vs_r2_pearson,0.27602675312010705,0.06451677685962127,0.037248778487149366,3
scaling,both_n200,imputation_accuracy,0.9463028907775879,0.007821463673025057,0.0045157241570778954,3
scaling,both_n200,dosage_r2,0.9220276549071352,0.01374704546983016,0.007936860402568469,3
scaling,both_n200,train_accuracy,0.9602563989010328,0.008377044939921297,0.004836489151077154,3
scaling,both_n200,val_accuracy,0.9460614522298177,0.002615442759439167,0.0015100265812122606,3
scaling,both_n200,baseline_majority_accuracy,0.6580298940340678,0.0346826631709619,0.020024044917967974,3
scaling,both_n200,baseline_explicit_ld_accuracy,0.9020936687787374,0.014070895992356235,0.0081238355889261,3
scaling,both_n200,model_minus_explicit_ld,0.0442092219988505,0.009232428305532813,0.005330344967473291,3
scaling,both_n200,model_minus_majority,0.2882729967435201,0.0348161373323899,0.020101106260998286,3
scaling,both_n200,explicit_r2_seconds,0.002284116000131083,0.0014743452213001214,0.0008512136103960635,3
scaling,both_n200,accuracy_maf_low,0.9444008072217306,0.0179819721841836,0.010381896481098765,3
scaling,both_n200,accuracy_maf_mid,0.9501243034998575,0.005047662450167038,0.0029142692743823052,3
scaling,both_n200,accuracy_maf_high,0.9396881262461344,0.008728824882566393,0.005039589395658811,3
scaling,both_n200,baseline_explicit_ld_accuracy_maf_low,0.9502423206965128,0.015096177451154623,0.00871578211515848,3
scaling,both_n200,baseline_explicit_ld_accuracy_maf_mid,0.922844648361206,0.014002416977906187,0.008084299211499524,3
scaling,both_n200,baseline_explicit_ld_accuracy_maf_high,0.8364287614822388,0.01623146523947572,0.009371240825353361,3
scaling,both_n200,baseline_majority_accuracy_maf_low,0.8669307430585226,0.01204222660410534,0.006952582771522692,3
scaling,both_n200,baseline_majority_accuracy_maf_mid,0.6885024110476176,0.04759525792334061,0.02747913497419037,3
scaling,both_n200,baseline_majority_accuracy_maf_high,0.4696256120999654,0.028287717051101606,0.01633192105421348,3
scaling,both_n200,attention_vs_r2_pearson,0.544340923572733,0.05518441787382995,0.031860738514528524,3
