experiment,config,seed,mask_rate,model,model_dosage_r2,majority,explicit_ld
ablation,both,0,0.1,0.9904541969299316,0.9873738828833325,0.6483439207077026,0.9204305410385132
ablation,both,0,0.3,0.9830508232116699,0.9779491566124001,0.6494662165641785,0.8930282592773438
ablation,both,0,0.5,0.9681563973426819,0.9582578430511468,0.6507142782211304,0.8581413626670837
ablation,both,0,0.7,0.9181905388832092,0.8937169211694851,0.6487399935722351,0.799103856086731
ablation,both,1,0.1,0.9941973090171814,0.9929819886667737,0.6605415940284729,0.9716956615447998
ablation,both,1,0.3,0.9923444986343384,0.9909847044779987,0.6636936068534851,0.9567161798477173
ablation,both,1,0.5,0.9881971478462219,0.9854026032861753,0.6590542197227478,0.9281070828437805
ablation,both,1,0.7,0.9699243903160095,0.9612093384902352,0.6589962244033813,0.8756198883056641
ablation,both,2,0.1,0.9950135946273804,0.992462705614944,0.7375987768173218,0.9633467197418213
ablation,both,2,0.3,0.9922364354133606,0.9886710281105628,0.7333784699440002,0.9507824182510376
ablation,both,2,0.5,0.983954668045044,0.9766441046758167,0.7336998581886292,0.9299657344818115
ablation,both,2,0.7,0.9634757041931152,0.9449047474490726,0.7375742197036743,0.8930628299713135
ablation,both,3,0.1,0.9968142509460449,0.9953263896322007,0.6784994602203369,0.9707431197166443
ablation,both,3,0.3,0.9937986731529236,0.9915596288051951,0.6838301420211792,0.9551258683204651
ablation,both,3,0.5,0.9856390357017517,0.9803079762151725,0.6805077195167542,0.9214163422584534
ablation,both,3,0.7,0.957223653793335,0.9438439428667813,0.6808037161827087,0.8728769421577454
ablation,both,4,0.1,0.9930394291877747,0.9906510305073688,0.75921630859375,0.962812602519989
ablation,both,4,0.3,0.9884098172187805,0.9845647257898236,0.7620232701301575,0.9556401371955872
ablation,both,4,0.5,0.9789419174194336,0.9723102554071126,0.7597753405570984,0.9341627955436707
ablation,both,4,0.7,0.9543071985244751,0.938008448755582,0.7594425678253174,0.8936630487442017
ablation,both,5,0.1,0.9926664233207703,0.9887251980253495,0.6531360745429993,0.965776801109314
ablation,both,5,0.3,0.9897155165672302,0.9845123259229673,0.6509360671043396,0.9526136517524719
ablation,both,5,0.5,0.9798685908317566,0.9709609286082923,0.651302695274353,0.9227522015571594
ablation,both,5,0.7,0.9498611092567444,0.9269495726301535,0.6466912031173706,0.8646724224090576
