experiment,config,seed,best_epoch,imputation_accuracy,dosage_r2,train_accuracy,val_accuracy,baseline_majority_accuracy,baseline_explicit_ld_accuracy,model_minus_explicit_ld,model_minus_majority,explicit_r2_seconds,accuracy_maf_low,accuracy_maf_mid,accuracy_maf_high,baseline_explicit_ld_accuracy_maf_low,baseline_explicit_ld_accuracy_maf_mid,baseline_explicit_ld_accuracy_maf_high,baseline_majority_accuracy_maf_low,baseline_majority_accuracy_maf_mid,baseline_majority_accuracy_maf_high,attention_vs_r2_pearson,attention_vs_r2_spearman,bias_vs_r2_pearson,bias_vs_r2_spearman,attention_vs_r2_partial_pearson,bias_vs_r2_partial_pearson,distance_baseline_vs_r2_pearson
ablation,no_bias,0,240,0.9795888662338257,0.9740124964690864,0.9861633827761789,0.9816760420799255,0.6522088050842285,0.8913106918334961,0.08827817440032959,0.32738006114959717,0.0035591759988164995,0.9808219075202942,0.9845138788223267,0.9728004932403564,0.9544140100479126,0.8971182107925415,0.8217595815658569,0.8331811428070068,0.6539859771728516,0.4695335030555725,0.6753943299661382,0.4885637009602859,0.0,0.1769246527535653,0.5678801650964667,0.0,0.3294105916425193
ablation,no_bias,1,240,0.9876235127449036,0.9831735863062683,0.9923788280124541,0.9888424277305603,0.6567767858505249,0.9556287527084351,0.031994760036468506,0.33084672689437866,0.0028162469970993698,0.9627477526664734,0.9919367432594299,0.9843365550041199,0.9227614402770996,0.9789437651634216,0.9134820699691772,0.8554340600967407,0.7138872146606445,0.4865507483482361,0.4649117463330634,0.4510176056301101,0.0,-0.03901427615217476,0.3552426269577614,0.0,0.3004945343237702
ablation,no_bias,2,220,0.9916936755180359,0.9874549073028902,0.9931286320087953,0.9934279918670654,0.7346357107162476,0.9497722387313843,0.04192143678665161,0.25705796480178833,0.004033655997773167,0.9923203587532043,0.9950860142707825,0.983526885509491,0.9746417999267578,0.9606177806854248,0.8637591004371643,0.8469229936599731,0.7015795111656189,0.5040507912635803,0.5641734795019961,0.41143238026494844,0.0,0.15977737589565488,0.5170932455328515,0.0,0.26630716627917334
ablation,no_bias,3,210,0.995313823223114,0.9938814344242566,0.9948173741362291,0.9924500584602356,0.6858565211296082,0.9507102370262146,0.044603586196899414,0.30945730209350586,0.0031414229997608345,0.9933498501777649,0.9960360527038574,0.9956607222557068,0.9635732173919678,0.96127849817276,0.897116482257843,0.8617369532585144,0.6605190634727478,0.5228163599967957,0.5091529668450825,0.4658309015019342,0.0,-0.018662409149688367,0.4080995329295718,0.0,0.3455938714802202
ablation,no_bias,4,240,0.9886562824249268,0.9840566360001048,0.9919883769198837,0.9896154403686523,0.7609542608261108,0.9544547200202942,0.03420156240463257,0.22770202159881592,0.0038418280018959194,0.9936908483505249,0.9741140007972717,0.9801380634307861,0.9809991717338562,0.9066255688667297,0.9006904363632202,0.8762746453285217,0.76579350233078,0.46212050318717957,0.38999046537341714,0.44330112578615494,0.0,0.17770700081587235,0.35412585511516415,0.0,0.21336041952357798
ablation,no_bias,5,230,0.989899218082428,0.9852627350761054,0.9933724673357319,0.9908301830291748,0.6489923596382141,0.9520637392997742,0.03783547878265381,0.34090685844421387,0.004646314999263268,0.9895680546760559,0.9892535209655762,0.9907079935073853,0.9692214727401733,0.943238377571106,0.9472187161445618,0.8548150658607483,0.672989547252655,0.4770543575286865,0.49044132120944184,0.23116293579682454,0.0,-0.08419616524942482,0.3928363376858631,0.0,0.2783763219016201
ablation,distance_only,0,240,0.9790542721748352,0.9736703999716525,0.9861264851302487,0.9773597121238708,0.6522088050842285,0.8913106918334961,0.08774358034133911,0.3268454670906067,0.002220185000624042,0.9812785387039185,0.9830325841903687,0.9723446369171143,0.9544140100479126,0.8971182107925415,0.8217595815658569,0.8331811428070068,0.6539859771728516,0.4695335030555725,0.631700632608935,0.4725788312220112,0.36017591778864844,0.2783185048171622,0.49616323015963193,0.018211876670452404,0.3294105916425193
ablation,distance_only,1,240,0.9910385608673096,0.9878399371757638,0.9953064733491334,0.9938468933105469,0.6567767858505249,0.9556287527084351,0.03540980815887451,0.33426177501678467,0.010305146002792753,0.9613807201385498,0.9947263598442078,0.9902411103248596,0.9227614402770996,0.9789437651634216,0.9134820699691772,0.8554340600967407,0.7138872146606445,0.4865507483482361,0.47761059104950826,0.42812473402042406,0.31701562676659334,0.25073895711798283,0.36460099617923053,0.008109751515564237,0.3004945343237702
ablation,distance_only,2,220,0.9916936755180359,0.9873589576949513,0.9941887859274383,0.9919675588607788,0.7346357107162476,0.9497722387313843,0.04192143678665161,0.25705796480178833,0.0037364849995356053,0.9926296472549438,0.9931203722953796,0.9864974617958069,0.9746417999267578,0.9606177806854248,0.8637591004371643,0.8469229936599731,0.7015795111656189,0.5040507912635803,0.5281114407168559,0.4529863477921382,0.2335070747068321,0.1970391204782741,0.47493952139814566,0.02707414717166059,0.26630716627917334
ablation,distance_only,3,230,0.9955323338508606,0.993780063047339,0.9945705824284304,0.9919629693031311,0.6858565211296082,0.9507102370262146,0.044822096824645996,0.30967581272125244,0.006474379002611386,0.9932506084442139,0.9962029457092285,0.996500551700592,0.9635732173919678,0.96127849817276,0.897116482257843,0.8617369532585144,0.6605190634727478,0.5228163599967957,0.5509157504941775,0.451189471484275,0.34373466999207103,0.26124370617854553,0.45767669689100465,0.006368451599584402,0.3455938714802202
ablation,distance_only,4,240,0.987950325012207,0.9837046218368108,0.9915317559153176,0.9891286492347717,0.7609542608261108,0.9544547200202942,0.03349560499191284,0.2269960641860962,0.004946577999362489,0.9934707880020142,0.9741140007972717,0.9779627323150635,0.9809991717338562,0.9066255688667297,0.9006904363632202,0.8762746453285217,0.76579350233078,0.46212050318717957,0.3480277240066433,0.4513709958657234,0.15500944228930238,0.15721039101749942,0.3068939560940967,-0.013625089559890944,0.21336041952357798
ablation,distance_only,5,210,0.9888576865196228,0.9833862433863629,0.9943665972353721,0.9902620911598206,0.6489923596382141,0.9520637392997742,0.03679394721984863,0.3398653268814087,0.004494438002438983,0.9887059330940247,0.9886765480041504,0.9891276955604553,0.9692214727401733,0.943238377571106,0.9472187161445618,0.8548150658607483,0.672989547252655,0.4770543575286865,0.5577550276754167,0.38486399584939324,0.32643470619224874,0.30455347213142187,0.4760335488687814,0.0011822277823797455,0.2783763219016201
ablation,genotype_only,0,240,0.9799533486366272,0.9749202608802534,0.984244705187809,0.9795585870742798,0.6522088050842285,0.8913106918334961,0.0886426568031311,0.3277445435523987,0.0030534639990946744,0.9828006029129028,0.9841772317886353,0.9723446369171143,0.9544140100479126,0.8971182107925415,0.8217595815658569,0.8331811428070068,0.6539859771728516,0.4695335030555725,0.6647703917621979,0.45890700966411274,0.6735671094526005,0.4466792653161973,0.5513488001913203,0.5725366753690811,0.3294105916425193
ablation,genotype_only,1,230,0.9883501529693604,0.9840391343123542,0.9927970630605512,0.991631805896759,0.6567767858505249,0.9556287527084351,0.03272140026092529,0.33157336711883545,0.0027171920010005124,0.9641148447990417,0.9927774667739868,0.9846645593643188,0.9227614402770996,0.9789437651634216,0.9134820699691772,0.8554340600967407,0.7138872146606445,0.4865507483482361,0.515926207253025,0.45381219846954113,0.7276823100312131,0.5569602988871686,0.42161064860079595,0.6804921776372813,0.3004945343237702
ablation,genotype_only,2,240,0.991474449634552,0.9871424366995285,0.9935998115281922,0.9935091137886047,0.7346357107162476,0.9497722387313843,0.041702210903167725,0.25683873891830444,0.002395629999227822,0.9921141862869263,0.9937521815299988,0.9854172468185425,0.9746417999267578,0.9606177806854248,0.8637591004371643,0.8469229936599731,0.7015795111656189,0.5040507912635803,0.5815092480019426,0.42315286890394327,0.6942875329548288,0.505972128309271,0.5374762315926068,0.6756578329561684,0.26630716627917334
ablation,genotype_only,3,230,0.994779646396637,0.9933594211401129,0.9940769990128332,0.9915570616722107,0.6858565211296082,0.9507102370262146,0.04406940937042236,0.3089231252670288,0.0044042499976058025,0.9929528832435608,0.9959943294525146,0.9932810664176941,0.9635732173919678,0.96127849817276,0.897116482257843,0.8617369532585144,0.6605190634727478,0.5228163599967957,0.4676376921699698,0.37614627314018667,0.7130618492256132,0.4732406917063142,0.37741983880343005,0.6584045734394526,0.3455938714802202
ablation,genotype_only,4,230,0.9877312779426575,0.983760192610962,0.9904939809049398,0.9888852834701538,0.7609542608261108,0.9544547200202942,0.03327655792236328,0.22677701711654663,0.004776411002239911,0.9932140111923218,0.9741140007972717,0.9777735471725464,0.9809991717338562,0.9066255688667297,0.9006904363632202,0.8762746453285217,0.76579350233078,0.46212050318717957,0.43471879745279235,0.4340311444046032,0.721151277841247,0.41041992819737344,0.4048053718779212,0.7105178033104357,0.21336041952357798
